class,id,chapter,title,pcol,prow,lcol,lrow,num,change,seq,cross
zhounan,taoyao,国风·周南,桃夭,2,21,2,22,4,3,1,0
zhounan,taoyao,国风·周南,桃夭,2,22,2,23,4,3,2,0
zhounan,tuju,国风·周南,兔罝,2,25,2,26,4,1,2,0
zhounan,fuyi,国风·周南,芣苡,2,27,2,28,4,1,1,0
zhounan,fuyi,国风·周南,芣苡,2,28,2,29,4,1,2,0
zhounan,rufen,国风·周南,汝坟,2,30,2,31,4,1,1,0
zhounan,juaner,国风·周南,卷耳,2,34,2,35,4,2,1,0
zhounan,juaner,国风·周南,卷耳,2,35,2,36,4,2,1,0
zhounan,hanguang,国风·周南,汉广,2,38,2,39,4,1,2,0
zhounan,linzhizhi,国风·周南,麟之趾,3,1,3,2,4,0,1,0
zhounan,linzhizhi,国风·周南,麟之趾,3,2,3,3,4,0,2,0
zhounan,getan,国风·周南,葛覃,3,4,3,6,4,2,1,0
zhounan,zhongsi,国风·周南,螽斯,3,10,3,11,4,0,1,0
zhounan,zhongsi,国风·周南,螽斯,3,11,3,12,4,0,2,0
zhounan,guanju,国风·周南,关雎,3,13,3,14,4,0,1,0
zhounan,guanju,国风·周南,关雎,3,14,3,16,4,0,2,0
zhounan,guanju,国风·周南,关雎,3,16,3,17,4,0,3,0
zhounan,jiumu,国风·周南,樛木,3,18,3,19,4,0,1,0
zhounan,jiumu,国风·周南,樛木,3,19,3,20,4,0,2,0
zhounan,taoyao,国风·周南,桃夭,3,21,3,22,4,0,1,0
zhounan,taoyao,国风·周南,桃夭,3,22,3,23,4,0,2,0
zhounan,tuju,国风·周南,兔罝,3,24,3,25,4,0,1,0
zhounan,tuju,国风·周南,兔罝,3,25,3,26,4,0,2,0
zhounan,fuyi,国风·周南,芣苡,3,27,3,28,4,0,1,0
zhounan,fuyi,国风·周南,芣苡,3,28,3,29,4,0,2,0
zhounan,rufen,国风·周南,汝坟,3,30,3,31,4,1,1,0
zhounan,juaner,国风·周南,卷耳,3,34,3,35,6,2,1,0
zhounan,juaner,国风·周南,卷耳,3,35,3,36,1,0,2,0
zhounan,hanguang,国风·周南,汉广,3,38,3,39,4,0,2,0
zhounan,zhongsi,国风·周南,螽斯,4,10,4,11,3,2,1,0
zhounan,zhongsi,国风·周南,螽斯,4,11,4,12,3,2,2,0
zhounan,guanju,国风·周南,关雎,4,14,4,16,4,3,2,0
zhounan,guanju,国风·周南,关雎,4,16,4,17,4,3,3,0
zhounan,jiumu,国风·周南,樛木,4,18,4,19,4,1,1,0
zhounan,jiumu,国风·周南,樛木,4,19,4,20,4,1,2,0
zhounan,taoyao,国风·周南,桃夭,4,21,4,22,4,2,1,0
zhounan,taoyao,国风·周南,桃夭,4,22,4,23,4,1,2,0
zhounan,tuju,国风·周南,兔罝,4,24,4,25,4,2,1,0
zhounan,tuju,国风·周南,兔罝,4,25,4,26,4,2,2,0
zhounan,fuyi,国风·周南,芣苡,4,27,4,28,4,1,1,0
zhounan,fuyi,国风·周南,芣苡,4,28,4,29,4,1,2,0
zhounan,juaner,国风·周南,卷耳,4,34,4,35,5,1,2,0
zhounan,hanguang,国风·周南,汉广,4,38,4,39,4,1,2,0
zhounan,hanguang,国风·周南,汉广,5,37,5,38,4,0,1,0
zhounan,hanguang,国风·周南,汉广,5,38,5,39,4,0,2,0
zhounan,hanguang,国风·周南,汉广,6,37,6,38,4,0,1,0
zhounan,hanguang,国风·周南,汉广,6,38,6,39,4,0,2,0
zhounan,hanguang,国风·周南,汉广,7,37,7,38,4,0,1,0
zhounan,hanguang,国风·周南,汉广,7,38,7,39,4,0,2,0
zhounan,hanguang,国风·周南,汉广,8,37,8,38,4,0,1,0
zhounan,hanguang,国风·周南,汉广,8,38,8,39,4,0,2,0
